id,title_provenance,title,platform_provenance,platform,release_year_provenance,release_year,developer_provenance,developer,publisher_provenance,publisher,genres_provenance,genres,global_sales_mil_provenance,global_sales_mil,main_story_hours_provenance,main_story_hour,main_plus_sides_hour_provenance,main_plus_sides_hour,completionist_hour_provenance,completionist_hour,critic_score_provenance,critic_score,esrb_rating_provenance,esrb_rating
playtime_21+sales_5232+metacritic_14639,metacritic_14639,007 Legends,metacritic_14639,PlayStation 3,metacritic_14639,2012,playtime_21,Eurocom,playtime_21,Activision,playtime_21+sales_5232+metacritic_14639,"['First-Person', 'Shooter', 'Action', 'Modern', 'Arcade']",sales_5232,0.36,playtime_21,6.7,playtime_21,7.95,playtime_21,9.58,metacritic_14639,41,metacritic_14639,T
playtime_4075+sales_841+metacritic_261,metacritic_261,Dead Space,metacritic_261,PlayStation 3,metacritic_261,2008,playtime_4075,Visceral Games,playtime_4075,Electronic Arts,playtime_4075+sales_841+metacritic_261,"['Horror', 'Shooter', 'Survival', 'Third-Person', 'Action', 'Sci-Fi', 'Arcade']",sales_841,2.02,playtime_4075,11.07,playtime_4075,13.18,playtime_4075,20.42,metacritic_261,88,metacritic_261,M
playtime_19717+sales_5094+metacritic_12410,metacritic_12410,Trivial Pursuit,metacritic_12410,Xbox 360,metacritic_12410,2009,playtime_19717,Electronic Arts,playtime_19717,Electronic Arts,playtime_19717+sales_5094+metacritic_12410,"['Trivia', 'Misc', 'Miscellaneous', 'Board Games', 'Board / Card Game']",sales_5094,0.37,playtime_19717,0.98,playtime_19717,6.98,playtime_19717,14.18,metacritic_12410,66,metacritic_12410,E
playtime_17386+sales_10563+metacritic_11384,metacritic_11384,Surf's Up,metacritic_11384,Xbox 360,metacritic_11384,2007,metacritic_11384,Ubisoft,playtime_17386,Ubisoft,playtime_17386+sales_10563+metacritic_11384,"['Sports', 'Alternative', 'Individual', 'Surfing', 'Surf / Wakeboard']",sales_10563,0.1,playtime_17386,1.47,playtime_17386,3.88,playtime_17386,8.95,metacritic_11384,61,metacritic_11384,E10+
playtime_25459+sales_3665+metacritic_13387,metacritic_13387,The Amazing Spider-Man 2,metacritic_13387,PlayStation 4,metacritic_13387,2014,metacritic_13387,Activision,playtime_25459,Activision,playtime_25459+sales_3665+metacritic_13387,"['Action', 'Adventure', 'Open World', 'Action Adventure', 'General', 'Open-World']",sales_3665,0.55,playtime_25459,7.18,playtime_25459,12.42,playtime_25459,26.22,metacritic_13387,49,metacritic_13387,T
playtime_11419+sales_10626+metacritic_11930,playtime_11419,Nail'd,metacritic_11930,Xbox 360,metacritic_11930,2010,playtime_11419,Techland,playtime_11419,Deep Silver,playtime_11419+sales_10626+metacritic_11930,"['Arcade', 'Driving', 'Racing', 'Automobile']",sales_10626,0.1,playtime_11419,10.25,playtime_11419,12.97,playtime_11419,,metacritic_11930,64,metacritic_11930,E10+
playtime_20361+sales_6908+metacritic_14047,playtime_20361,Viva Piñata: Party Animals,metacritic_14047,Xbox 360,metacritic_14047,2007,playtime_20361,Krome Studios,playtime_20361,Microsoft Game Studios,playtime_20361+sales_6908+metacritic_14047,"['Party', 'Misc', 'Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual']",sales_6908,0.24,playtime_20361,0.67,playtime_20361,8,playtime_20361,11.7,metacritic_14047,56,metacritic_14047,E
playtime_11644+sales_523+metacritic_4963,metacritic_4963,Need for Speed: Hot Pursuit,metacritic_4963,PlayStation 3,metacritic_4963,2010,metacritic_4963,Electronic Arts,playtime_11644,Electronic Arts,playtime_11644+sales_523+metacritic_4963,"['Driving', 'Open World', 'Racing', 'Arcade', 'Automobile']",sales_523,2.81,playtime_11644,14.15,playtime_11644,21.23,playtime_11644,31.22,metacritic_4963,89,metacritic_4963,E10+
playtime_18250+sales_6385+metacritic_13903,metacritic_13903,The Incredible Hulk,metacritic_13903,Xbox 360,metacritic_13903,2008,playtime_18250,Edge of Reality,playtime_18250,Sega,playtime_18250+sales_6385+metacritic_13903,"['Action', 'Sandbox', 'General']",sales_6385,0.27,playtime_18250,10.08,playtime_18250,10.98,playtime_18250,20.38,metacritic_13903,55,metacritic_13903,T
playtime_15578+sales_1550+metacritic_213,metacritic_213,Silent Hill 2,metacritic_213,PlayStation 2,metacritic_213,2001,playtime_15578,Konami,playtime_15578,Konami,playtime_15578+sales_1550+metacritic_213,"['Horror', 'Survival', 'Third-Person', 'Action', 'Action Adventure']",sales_1550,1.28,playtime_15578,8.32,playtime_15578,9.72,playtime_15578,16.35,metacritic_213,89,metacritic_213,M
