playtime_id,sales_id,metacritic_id,title_p,title_s,title_m,platform_p,platform_s,platform_m,release_year_p,release_year_s,release_year_m,developer_p,developer_m,publisher_p,publisher_s,genres_p,genres_s,genres_m,genres_all,main_story_hours_p,main_plus_sides_p,completionist_hour_p,global_sales_mil_s,critic_score_m,esrb_rating_m
playtime_21,sales_5232,metacritic_14639,007 Legends,James Bond 007: Legends,007 Legends,PlayStation 3,PlayStation 3,PlayStation 3,2012.0,2012.0,2012,Eurocom,Activision,Activision,Activision,['First-Person' 'Shooter'],['Shooter'],['Action' 'Shooter' 'First-Person' 'Modern' 'Arcade'],"['First-Person', 'Shooter', 'Action', 'Modern', 'Arcade']",6.7,7.95,9.58,0.36,41.0,T
playtime_4075,sales_841,metacritic_261,Dead Space(2008),Dead Space,Dead Space,PlayStation 3,PlayStation 3,PlayStation 3,2008.0,2008.0,2008,Visceral Games,Electronic Arts,Electronic Arts,Electronic Arts,['Horror' 'Shooter' 'Survival' 'Third-Person'],['Action'],['Action' 'Shooter' 'Third-Person' 'Sci-Fi' 'Arcade'],"['Horror', 'Shooter', 'Survival', 'Third-Person', 'Action', 'Sci-Fi', 'Arcade']",11.07,13.18,20.42,2.02,88.0,M
playtime_19717,sales_5094,metacritic_12410,Trivial Pursuit(2009),Trivial Pursuit,Trivial Pursuit,Xbox 360,Xbox 360,Xbox 360,2009.0,2009.0,2009,Electronic Arts,Electronic Arts,Electronic Arts,Electronic Arts,['Trivia'],['Misc'],['Miscellaneous' 'Board Games' 'Board / Card Game'],"['Trivia', 'Misc', 'Miscellaneous', 'Board Games', 'Board / Card Game']",0.98,6.98,14.18,0.37,66.0,E
playtime_17386,sales_10563,metacritic_11384,Surf's Up(2007),Surf's Up,Surf's Up,Xbox 360,Xbox 360,Xbox 360,2007.0,2007.0,2007,,Ubisoft,Ubisoft,Ubisoft,['Sports'],['Sports'],['Sports' 'Alternative' 'Individual' 'Surfing' 'Surf / Wakeboard'],"['Sports', 'Alternative', 'Individual', 'Surfing', 'Surf / Wakeboard']",1.47,3.88,8.95,0.1,61.0,E10+
playtime_25459,sales_3665,metacritic_13387,The Amazing Spider-Man 2(2014),The Amazing Spider-Man 2 (2014),The Amazing Spider-Man 2,PlayStation 4,PlayStation 4,PlayStation 4,2014.0,2014.0,2014,,Activision,Activision,Activision,['Action' 'Adventure' 'Open World'],['Action'],['Action' 'Action Adventure' 'General' 'Open-World'],"['Action', 'Adventure', 'Open World', 'Action Adventure', 'General', 'Open-World']",7.18,12.42,26.22,0.55,49.0,T
playtime_11419,sales_10626,metacritic_11930,Nail'd,nail'd,nail'd,Xbox 360,Xbox 360,Xbox 360,2010.0,2010.0,2010,Techland,Deep Silver,Deep Silver,Deep Silver,['Arcade' 'Driving' 'Racing'],['Racing'],['Driving' 'Racing' 'Arcade' 'Automobile'],"['Arcade', 'Driving', 'Racing', 'Automobile']",10.25,12.97,,0.1,64.0,E10+
playtime_20361,sales_6908,metacritic_14047,Viva Piñata: Party Animals,Viva Pinata: Party Animals,Viva Pinata: Party Animals,Xbox 360,Xbox 360,Xbox 360,2007.0,2007.0,2007,Krome Studios,Microsoft Game Studios,Microsoft Game Studios,Microsoft Game Studios,['Party'],['Misc'],['Simulation' 'Miscellaneous' 'Virtual Life' 'Virtual'],"['Party', 'Misc', 'Simulation', 'Miscellaneous', 'Virtual Life', 'Virtual']",0.67,8.0,11.7,0.24,56.0,E
playtime_11644,sales_523,metacritic_4963,Need for Speed: Hot Pursuit(2010),Need for Speed: Hot Pursuit,Need for Speed: Hot Pursuit,PlayStation 3,PlayStation 3,PlayStation 3,2010.0,2010.0,2010,,Electronic Arts,Electronic Arts,Electronic Arts,['Driving' 'Open World' 'Racing'],['Racing'],['Driving' 'Racing' 'Arcade' 'Automobile'],"['Driving', 'Open World', 'Racing', 'Arcade', 'Automobile']",14.15,21.23,31.22,2.81,89.0,E10+
playtime_18250,sales_6385,metacritic_13903,The Incredible Hulk(2008),The Incredible Hulk,The Incredible Hulk,Xbox 360,Xbox 360,Xbox 360,2008.0,2008.0,2008,Edge of Reality,Sega,Sega,Sega,['Action' 'Sandbox'],['Action'],['Action' 'General'],"['Action', 'Sandbox', 'General']",10.08,10.98,20.38,0.27,55.0,T
playtime_15578,sales_1550,metacritic_213,Silent Hill 2(2001),Silent Hill 2,Silent Hill 2,PlayStation 2,PlayStation 2,PlayStation 2,2001.0,2001.0,2001,Konami,Konami,Konami,Konami Digital Entertainment,['Horror' 'Survival' 'Third-Person'],['Action'],['Action Adventure' 'Horror'],"['Horror', 'Survival', 'Third-Person', 'Action', 'Action Adventure']",8.32,9.72,16.35,1.28,89.0,M
playtime_12590,sales_2790,metacritic_4489,Persona 4 Arena,Persona 4: Arena,Persona 4 Arena,PlayStation 3,PlayStation 3,PlayStation 3,2012.0,2012.0,2012,,Atlus,Atlus,Atlus,['Fighting' 'Visual Novel'],['Fighting'],['Action' 'Fighting' '2D'],"['Fighting', 'Visual Novel', 'Action', '2D']",10.7,19.57,31.75,0.74,86.0,T
playtime_10385,sales_518,metacritic_9610,Medal of Honor(2010),Medal of Honor,Medal of Honor,PlayStation 3,PlayStation 3,PlayStation 3,2010.0,2010.0,2010,,Electronic Arts,Electronic Arts,Electronic Arts,['First-Person' 'Shooter'],['Shooter'],['Action' 'Shooter' 'First-Person' 'Modern' 'Arcade'],"['First-Person', 'Shooter', 'Action', 'Modern', 'Arcade']",5.03,6.37,11.18,2.83,75.0,M
playtime_13439,sales_2575,metacritic_9332,Prototype 2,[Prototype 2],Prototype 2,Xbox 360,Xbox 360,Xbox 360,2012.0,2012.0,2012,Radical Entertainment,Activision,Activision,Activision,['Action' 'Adventure' 'Open World'],['Action'],['Action Adventure' 'Sci-Fi' 'Open-World'],"['Action', 'Adventure', 'Open World', 'Action Adventure', 'Sci-Fi', 'Open-World']",10.17,14.07,19.73,0.8,74.0,M
