id1,id2,is_true_match,classification
playtime_1,sales_11514,,
playtime_1,sales_11239,,
playtime_2,sales_8116,,
playtime_2,sales_11942,,
playtime_2,sales_5981,,
playtime_2,sales_622,,
playtime_2,sales_6083,,
playtime_2,sales_3892,,
playtime_2,sales_6308,,
playtime_2,sales_3516,,
playtime_2,sales_8381,,
playtime_2,sales_2899,,
playtime_3,sales_8358,,
playtime_3,sales_8305,,
playtime_3,sales_7108,,
playtime_3,sales_8603,,
playtime_3,sales_3003,,
playtime_4,sales_8358,,
playtime_4,sales_7108,,
playtime_4,sales_8305,,
playtime_4,sales_8603,,
playtime_4,sales_11340,,
playtime_4,sales_1564,,
playtime_4,sales_16586,,
playtime_4,sales_3003,,
playtime_5,sales_8358,,
playtime_5,sales_7108,,
playtime_5,sales_8305,,
playtime_5,sales_8603,,
playtime_5,sales_1564,,
playtime_5,sales_4295,,
playtime_5,sales_3003,,
playtime_5,sales_13779,,
playtime_5,sales_6319,,
playtime_5,sales_7005,,
playtime_6,sales_8358,,
playtime_6,sales_7108,,
playtime_6,sales_8305,,
playtime_6,sales_8603,,
playtime_6,sales_1564,,
playtime_6,sales_4295,,
playtime_6,sales_3003,,
playtime_6,sales_13779,,
playtime_6,sales_7460,,
playtime_6,sales_12134,,
playtime_7,sales_7108,,
playtime_7,sales_8358,,
playtime_7,sales_8305,,
playtime_7,sales_8603,,
playtime_8,sales_7108,,
playtime_8,sales_8358,,
playtime_8,sales_8305,,
playtime_8,sales_8603,,
playtime_8,sales_13044,,
playtime_8,sales_15145,,
playtime_8,sales_15091,,
playtime_8,sales_16340,,
playtime_8,sales_13039,,
playtime_8,sales_16586,,
playtime_9,sales_7108,,
playtime_9,sales_8603,,
playtime_9,sales_8358,,
playtime_9,sales_8305,,
playtime_9,sales_1564,,
playtime_9,sales_4295,,
playtime_9,sales_12887,,
playtime_9,sales_6319,,
playtime_9,sales_16109,,
playtime_9,sales_2214,,
playtime_10,sales_7108,,
playtime_10,sales_8358,,
playtime_10,sales_8603,,
playtime_10,sales_8305,,
playtime_10,sales_1564,,
playtime_10,sales_4295,,
playtime_10,sales_12887,,
playtime_10,sales_16109,,
playtime_10,sales_13779,,
playtime_10,sales_6319,,
playtime_11,sales_8305,,
playtime_11,sales_8358,,
playtime_11,sales_7108,,
playtime_11,sales_8603,,
playtime_12,sales_8305,,
playtime_12,sales_8358,,
playtime_12,sales_7108,,
playtime_12,sales_8603,,
playtime_13,sales_8305,,
playtime_13,sales_8358,,
playtime_13,sales_7108,,
playtime_13,sales_8603,,
playtime_13,sales_1564,,
playtime_13,sales_4295,,
playtime_13,sales_7155,,
playtime_13,sales_6319,,
playtime_13,sales_3003,,
playtime_13,sales_57,,
playtime_14,sales_8305,,
playtime_14,sales_8358,,
playtime_14,sales_7108,,
playtime_14,sales_8603,,
playtime_14,sales_1564,,
playtime_14,sales_4295,,
playtime_14,sales_7155,,
playtime_14,sales_57,,
playtime_14,sales_3003,,
playtime_14,sales_2453,,
playtime_15,sales_1564,,
playtime_15,sales_4295,,
playtime_15,sales_1322,,
playtime_15,sales_3003,,
playtime_15,sales_7108,,
playtime_15,sales_3650,,
playtime_15,sales_8358,,
playtime_15,sales_8008,,
playtime_15,sales_8305,,
playtime_15,sales_8603,,
playtime_16,sales_9075,,
playtime_16,sales_16007,,
playtime_16,sales_7108,,
playtime_16,sales_12795,,
playtime_16,sales_8358,,
playtime_16,sales_13722,,
playtime_16,sales_1564,,
playtime_16,sales_8305,,
playtime_16,sales_11447,,
playtime_16,sales_3003,,
playtime_17,sales_3003,,
playtime_17,sales_1564,,
playtime_17,sales_4295,,
playtime_17,sales_8358,,
playtime_17,sales_7108,,
playtime_17,sales_3650,,
