Blocking Key Value,Frequency
lego harry potter: years 5-7||warner bros. interactive entertainment,104
ratatouille||thq,90
fifa 14||electronic arts,81
lego marvel super heroes||warner bros. interactive entertainment,81
lego jurassic world||warner bros. interactive entertainment,80
tomb raider: legend||eidos interactive,77
lego batman 3: beyond gotham||warner bros. interactive entertainment,72
lego batman 2: dc super heroes||warner bros. interactive entertainment,70
spider-man 3||activision,63
fifa 12||electronic arts,56
harry potter and the order of the phoenix||electronic arts,56
lego pirates of the caribbean: the video game||disney interactive studios,56
lego the lord of the rings||warner bros. interactive entertainment,56
need for speed: undercover||electronic arts,56
skylanders: trap team||activision,56
lego marvel's avengers||warner bros. interactive entertainment,56
lego star wars: the force awakens||warner bros. interactive entertainment,56
marvel: ultimate alliance 2||activision,54
star wars: the force unleashed||lucasarts,54
tony hawk's pro skater 3||activision,54
rayman legends||ubisoft,54
toy story 3: the video game||disney interactive studios,50
harry potter and the half-blood prince||electronic arts,49
need for speed: prostreet||electronic arts,49
open season||ubisoft,48
assassin's creed iv: black flag||ubisoft,48
theme park||electronic arts,45
alien: isolation||sega,45
harry potter and the goblet of fire||electronic arts,42
michael jackson: the experience||ubisoft,42
prince of persia: the forgotten sands||ubisoft,42
sonic & all-stars racing transformed||sega,42
spider-man: web of shadows||activision,42
tomb raider: underworld||eidos interactive,42
watch dogs||ubisoft,42
x-men: the official game||activision,42
resident evil: revelations||capcom,40
thrillville: off the rails||lucasarts,40
avatar: the last airbender||thq,36
cars 2||disney interactive studios,36
cars: race-o-rama||thq,36
g.i. joe: the rise of cobra||electronic arts,36
ice age: dawn of the dinosaurs||activision,36
juiced 2: hot import nights||thq,36
kung fu panda||activision,36
rayman origins||ubisoft,36
spider-man: friend or foe||activision,36
the golden compass||sega,36
the simpsons game||electronic arts,36
wwe all stars||thq,36
wwe smackdown vs. raw 2009||thq,36
wwe smackdown vs. raw 2010||thq,36
ice age 2: the meltdown||vivendi games,36
disney infinity||disney interactive studios,36
just dance 2014||ubisoft,36
monsters vs. aliens||activision,36
adventure time: finn & jake investigations||little orbit,36
back to the future: the game||telltale games,35
call of duty: world at war||activision,35
ghostbusters: the video game||atari,35
payday 2||505 games,35
the wolf among us||telltale games,35
middle-earth: shadow of mordor||warner bros. interactive entertainment,35
resident evil: revelations 2||capcom,35
skylanders: superchargers||activision,35
beyond good & evil||ubisoft,33
lego indiana jones: the original adventures||lucasarts,32
tom clancy's splinter cell: chaos theory||ubisoft,32
tom clancy's splinter cell: double agent||ubisoft,32
ty the tasmanian tiger 2: bush rescue||electronic arts,32
puyo puyo tetris||sega,32
bolt||disney interactive studios,30
captain america: super soldier||sega,30
cloudy with a chance of meatballs||ubisoft,30
harry potter and the prisoner of azkaban||electronic arts,30
injustice: gods among us||warner bros. interactive entertainment,30
madagascar: escape 2 africa||activision,30
resident evil 6||capcom,30
shaun white snowboarding||ubisoft,30
spider-man: edge of time||activision,30
star wars: the force unleashed ii||lucasarts,30
ultimate spider-man||activision,30
the incredibles: rise of the underminer||thq,30
over the hedge||activision,30
guitar hero live||activision,30
just dance 2016||ubisoft,30
bionicle heroes||eidos interactive,28
tom clancy's splinter cell||ubisoft,28
tom clancy's splinter cell: pandora tomorrow||ubisoft,28
x-men origins: wolverine||activision,28
ducktales: remastered||capcom,28
sphinx and the cursed mummy||thq,27
battlefield 4||electronic arts,25
blazing angels: squadrons of wwii||ubisoft,25
call of duty: black ops||activision,25
f1 2011||codemasters,25
green lantern: rise of the manhunters||warner bros. interactive entertainment,25
harry potter and the deathly hallows - part 1||electronic arts,25
harry potter and the deathly hallows - part 2||electronic arts,25
iron man 2||sega,25
madagascar||activision,25
marvel nemesis: rise of the imperfects||electronic arts,25
marvel super hero squad: the infinity gauntlet||thq,25
metro: last light||deep silver,25
sega superstars tennis||sega,25
shrek superslam||activision,25
skylanders: spyro's adventure||activision,25
the evil within||bethesda softworks,25
the lord of the rings: aragorn's quest||warner bros. interactive entertainment,25
thor: god of thunder||sega,25
tom clancy's endwar||ubisoft,25
tony hawk's proving ground||activision,25
tron: evolution||disney interactive studios,25
wwe smackdown vs. raw 2011||thq,25
dragon age: inquisition||electronic arts,25
saints row iv||deep silver,25
wipeout 2||activision,25
rocksmith 2014||ubisoft,25
wolfenstein: the new order||bethesda softworks,25
generator rex: agent of providence||activision,25
call of duty: advanced warfare||activision,25
murdered: soul suspect||square enix,25
far cry 4||ubisoft,25
dreamworks super star kartz||activision,25
transformers: devastation||activision,25
lego dimensions||warner bros. interactive entertainment,25
call of duty 3||activision,24
epic mickey 2: the power of two||disney interactive studios,24
guitar hero iii: legends of rock||activision,24
gun||activision,24
hitman: absolution||square enix,24
indigo prophecy||atari,24
