p_row_id,m_row_id,title_p,title_m,platform_p,platform_m,release_year_p,release_year_m,developer_p,developer_m,similarity,label
playtime_11053,metacritic_2493,Monday Night Combat,Monday Night Combat,Xbox 360,Xbox 360,2010,2010,Uber Entertainment,Microsoft Game Studios,0.8875,1
playtime_29663,metacritic_3810,Metro 2033 Redux,Metro Redux,PlayStation 4,PlayStation 4,2014,2014,4A Games,Deep Silver,0.881578947,0
playtime_35644,metacritic_378,NBA 2K16,NBA 2K16,PlayStation 4,PlayStation 4,2015,2015,Visual Concepts,Take-Two Interactive,0.892857143,1
playtime_24192,metacritic_4879,Deus Ex: Human Revolution - Director's Cut,Deus Ex: Human Revolution - Director's Cut,Wii U,Wii U,2013,2013,Eidos Montreal,Square Enix,0.91,1
playtime_9362,metacritic_13468,Legendary,Legendary,PlayStation 3,PlayStation 3,2008,2008,Spark Unlimited,Gamecock Media Group,0.892857143,1
playtime_45081,metacritic_7359,The Golf Club 2,The Golf Club 2,Xbox One,Xbox One,2017,2017,HB Studios,Maximum Games,0.876086957,1
playtime_49535,metacritic_4504,Beat Saber,Beat Saber,PlayStation 4,PlayStation 4,2018,2018,Beat Games,Hyperbolic Magnetism,0.9,1
playtime_3834,metacritic_8618,Dante's Inferno,Dante's Inferno,Xbox 360,Xbox 360,2010,2010,Visceral Games,Electronic Arts,0.89137931,1
playtime_34459,metacritic_8108,J.U.L.I.A.: Among the Stars,J.U.L.I.A.: Among the Stars,PC,PC,2014,2014,CBE Software,Cardboard Box Entertainment,0.896153846,1
playtime_61470,metacritic_7330,AO Tennis 2,AO Tennis 2,Xbox One,Xbox One,2020,2020,Big Ant Studios,Bigben Interactive,0.904545455,1
playtime_55270,metacritic_9664,Void Bastards,Void Bastards,Xbox One,Xbox One,2019,2019,Blue Manchu,Humble Bundle,0.9125,1
playtime_51169,metacritic_678,Little Nightmares - Complete Edition,Little Nightmares,Xbox One,Xbox One,2017,2017,Tarsier Studios,Bandai Namco Games,0.895454545,0
playtime_7900,metacritic_9205,Headhunter,Headhunter,PlayStation 2,PlayStation 2,2002,2002,Amuze,Acclaim,0.9,1
playtime_22105,metacritic_6893,Age of Empires II: HD Edition,Age of Empires II: HD Edition,PC,PC,2013,2013,Hidden Path Entertainment,Microsoft Game Studios,0.894680851,1
playtime_5332,metacritic_7175,Dynasty Warriors 5: Xtreme Legends,Dynasty Warriors 5,PlayStation 2,PlayStation 2,2005,2005,Omega Force,Koei,0.863529412,1
playtime_20596,metacritic_7352,Wet,Wet,Xbox 360,Xbox 360,2009,2009,Artificial Mind and Movement,Bethesda Softworks,0.882608696,1
playtime_55916,metacritic_8663,Outriders,Outriders,PC,PC,2021,2021,People Can Fly,Square Enix,0.886,1
playtime_6717,metacritic_6624,Fuel,Fuel,PC,PC,2009,2009,Asobo Studio,Codemasters,0.876086957,1
playtime_27322,metacritic_10242,NFL Street 2,NFL Street 2,PlayStation 2,PlayStation 2,2004,2004,EA Sports BIG,EA Sports Big,0.976923077,1
playtime_7448,metacritic_2843,Ground Control II: Operation Exodus,Ground Control II: Operation Exodus,PC,PC,2004,2004,Massive Entertainment,Sierra Entertainment,0.968181818,1
playtime_46746,metacritic_736,Football Manager 2018,Football Manager 2018,PC,PC,2017,2017,Sports Interactive,SegaSoft,0.907692308,1
playtime_42599,metacritic_1278,Cyber Shadow,Cyber Shadow,PlayStation 4,PlayStation 4,2021,2021,"Aarne ""MekaSkull"" Hunziker",Yacht Club Games,0.885714286,1
playtime_1196,metacritic_3549,ATV Offroad Fury 2,ATV Offroad Fury 2,PlayStation 2,PlayStation 2,2002,2002,Rainbow Studios,SCEA,0.865789474,1
playtime_49929,metacritic_8273,Earth Defense Force 4.1: Wingdiver The Shooter,Earth Defense Force 5,PlayStation 4,PlayStation 4,2018,2018,Clouds,D3Publisher,0.862794118,0
playtime_12277,metacritic_3781,Outland,Outland,PlayStation 3,PlayStation 3,2011,2011,Housemarque,Ubisoft,0.866666667,1
playtime_55222,metacritic_7143,Layers of Fear 2,Layers of Fear 2,PlayStation 4,PlayStation 4,2019,2019,Bloober Team,Gun Media,0.892857143,1
playtime_34969,metacritic_10124,MX 2002,MX 2002 Featuring Ricky Carmichael,PlayStation 2,PlayStation 2,2001,2001,Pacific Coast Power & Light,THQ,0.85,0
playtime_10377,metacritic_3690,MechWarrior 4: Mercenaries,MechWarrior 4: Mercenaries,PC,PC,2002,2002,FASA Studio,Microsoft Game Studios,0.913636364,1
playtime_17365,metacritic_11918,Superman: Shadow of Apokolips,Superman: Shadow of Apokolips,PlayStation 2,PlayStation 2,2002,2002,Infogrames,Atari,0.87,1
playtime_4543,metacritic_2885,Disgaea 4: A Promise Unforgotten,Disgaea 4: A Promise Unforgotten,PlayStation 3,PlayStation 3,2011,2011,Nippon Ichi Software,NIS America,0.888709677,1
