p_row_id,m_row_id,title_p,title_m,platform_p,platform_m,release_year_p,release_year_m,developer_p,developer_m,similarity,label,,,,,,,,,,,,,,
playtime_1006,metacritic_14172,Army Corps of Hell,Army Corps of Hell,PlayStation Vita,PlayStation Vita,2012,2012,Entersphere,Square Enix,0.904545455,1,,,,,,,,,,,,,,
playtime_10134,metacritic_7300,Marc Ecko's Getting Up: Contents Under Pressure,Marc Ecko's Getting Up: Contents Under Pressure,PlayStation 2,PlayStation 2,2006,2006,The Collective,Atari,0.881578947,1,,,,,,,,,,,,,,
playtime_10259,metacritic_3539,Marvel: Ultimate Alliance,Marvel: Ultimate Alliance,PC,PC,2006,2006,Raven Software,Activision,0.875,1,,,,,,,,,,,,,,
playtime_1035,metacritic_5598,Army of Two: The 40th Day,Army of Two: The 40th Day,PlayStation 3,PlayStation 3,2010,2010,EA Montreal,Electronic Arts,0.896153846,1,,,,,,,,,,,,,,
playtime_10999,metacritic_2385,Mirror's Edge,Mirror's Edge,Xbox 360,Xbox 360,2008,2008,EA Digital Illusions CE,EA Games,0.91,1,,,,,,,,,,,,,,
playtime_11051,metacritic_3086,Monaco: What's Yours is Mine,Monaco: What's Yours Is Mine,Xbox 360,Xbox 360,2013,2013,Pocketwatch Games,Majesco Games,0.917261905,1,,,,,,,,,,,,,,
playtime_11220,metacritic_1716,Mortal Kombat: Shaolin Monks,Mortal Kombat: Shaolin Monks,PlayStation 2,PlayStation 2,2005,2005,Paradox Development,Midway,0.862,1,,,,,,,,,,,,,,
playtime_11248,metacritic_1724,MotorStorm: Apocalypse,MotorStorm: Apocalypse,PlayStation 3,PlayStation 3,2011,2011,Evolution Studios,SCEA,0.864285714,1,,,,,,,,,,,,,,
playtime_12053,metacritic_5999,Nuclear Dawn,Nuclear Dawn,PC,PC,2011,2011,InterWave Studios,Viva Media,0.894444444,1,,,,,,,,,,,,,,
playtime_12499,metacritic_6226,Pariah,Pariah,PC,PC,2005,2005,Digital Extremes,Groove Games,0.892857143,1,,,,,,,,,,,,,,
playtime_12526,metacritic_12502,Patrician IV: Conquest by Trade,Patrician IV: Conquest by Trade,PC,PC,2010,2010,Gaming Minds Studios,Kalypso,0.883333333,1,,,,,,,,,,,,,,
playtime_12570,metacritic_1662,"Penny Arcade Adventures: Precipice of Darkness, Episode Two",Penny Arcade Adventures: Episode One,PC,PC,2008,2008,Hothead Games,Hothead Games,0.973529412,1,,,,,,,,,,,,,,
playtime_12700,metacritic_10514,Phantasy Star Universe,Phantasy Star Universe,Xbox 360,Xbox 360,2006,2006,Sonic Team,Sega,0.914285714,1,,,,,,,,,,,,,,
playtime_13136,metacritic_5034,Portal,Portal,PC,PC,2007,2007,Valve Corporation,Electronic Arts,0.896875,1,,,,,,,,,,,,,,
playtime_13156,metacritic_14006,Postal,Postal,PC,PC,1997,1997,Running With Scissors,Ripcord Games,0.894117647,1,,,,,,,,,,,,,,
playtime_13673,metacritic_1602,Quantum Conundrum,Quantum Conundrum,PC,PC,2012,2012,Airtight Games,Square Enix,0.898,1,,,,,,,,,,,,,,
playtime_14116,metacritic_13284,Red Ninja: End of Honor,Red Ninja: End of Honor,PlayStation 2,PlayStation 2,2005,2005,Tranji Studios,VU Games,0.877272727,1,,,,,,,,,,,,,,
playtime_14537,metacritic_1196,Rochard,Rochard,PlayStation 3,PlayStation 3,2011,2011,Recoil Games,Sony Online Entertainment,0.898648649,1,,,,,,,,,,,,,,
playtime_14722,metacritic_9843,Rune,Rune (2000),PC,PC,2000,2000,Human Head Studios,Gathering,0.883333333,1,,,,,,,,,,,,,,
playtime_15025,metacritic_5386,Scribblenauts Unlimited,Scribblenauts Unlimited,PC,PC,2012,2012,5th Cell,Warner Bros. Interactive Entertainment,0.869565217,1,,,,,,,,,,,,,,
playtime_15345,metacritic_14627,Shellshock 2: Blood Trails,ShellShock 2: Blood Trails,PC,PC,2009,2009,Rebellion Developments,Eidos Interactive,0.871153846,1,,,,,,,,,,,,,,
playtime_15390,metacritic_3589,Shift 2: Unleashed,Shift 2: Unleashed,Xbox 360,Xbox 360,2011,2011,Slightly Mad Studios,Electronic Arts,0.884285714,1,,,,,,,,,,,,,,
playtime_15542,metacritic_4624,Sid Meier's Civilization IV: Beyond the Sword,Sid Meier's Civilization IV: Beyond the Sword,PC,PC,2007,2007,Firaxis Games,2K Games,0.965384615,1,,,,,,,,,,,,,,
playtime_1560,metacritic_229,Battlefield 3,Battlefield 3,PC,PC,2011,2011,EA Digital Illusions CE,Electronic Arts,0.897368421,1,,,,,,,,,,,,,,
playtime_1575,metacritic_4804,Battlefield: Bad Company 2,Battlefield: Bad Company 2 Vietnam,Xbox 360,Xbox 360,2010,2010,EA Digital Illusions CE,EA Games,0.91,1,,,,,,,,,,,,,,
playtime_15883,metacritic_316,SOCOM II: U.S. Navy SEALs,SOCOM II: U.S. Navy SEALs,PlayStation 2,PlayStation 2,2003,2003,Zipper Interactive and the U.S. Navy,SCEA,0.8575,1,,,,,,,,,,,,,,
playtime_15920,metacritic_1748,Soldiers: Heroes of World War II,Soldiers: Heroes of World War II,PC,PC,2004,2004,Best Way,Codemasters,0.897368421,1,,,,,,,,,,,,,,
playtime_16412,metacritic_4063,Splashdown,Splashdown,PlayStation 2,PlayStation 2,2001,2001,Rainbow Studios,Atari,0.88,1,,,,,,,,,,,,,,
playtime_16696,metacritic_4313,Star Wars: Republic Commando,Star Wars: Knights of the Old Republic II - The Sith Lords,PC,PC,2005,2005,LucasArts,LucasArts,0.913829787,1,,,,,,,,,,,,,,
playtime_16715,metacritic_8349,Star Wars: The Clone Wars,Star Wars: The Clone Wars,PlayStation 2,PlayStation 2,2002,2002,Pandemic Studios,LucasArts,0.886,1,,,,,,,,,,,,,,
playtime_16796,metacritic_13270,Starship Troopers,Starship Troopers,PC,PC,2005,2005,Strangelite,Empire Interactive,0.901724138,1,,,,,,,,,,,,,,
playtime_17007,metacritic_12235,Stretch Panic,Stretch Panic,PlayStation 2,PlayStation 2,2001,2001,Treasure,Conspiracy Entertainment,0.8875,1,,,,,,,,,,,,,,
playtime_17371,metacritic_10351,Superstars V8 Racing,Superstars V8 Racing,PlayStation 3,PlayStation 3,2010,2010,Milestone,O-Games,0.8875,1,,,,,,,,,,,,,,
playtime_17732,metacritic_654,Tekken Tag Tournament 2,Tekken Tag Tournament 2: Wii U Edition,Wii U,Wii U,2012,2012,Namco Bandai Games,Namco Bandai Games,0.979545455,1,,,,,,,,,,,,,,
playtime_17909,metacritic_7028,The Ball,The Ball,PC,PC,2010,2010,Teotl Studios,Tripwire Interactive,0.895454545,1,,,,,,,,,,,,,,
playtime_18173,metacritic_12820,The History Channel: Civil War - A Nation Divided,The History Channel: Civil War - A Nation Divided,Xbox 360,Xbox 360,2006,2006,Cauldron HQ,Activision,0.878571429,1,,,,,,,,,,,,,,
playtime_18637,metacritic_50,The Orange Box,The Orange Box,Xbox 360,Xbox 360,2007,2007,Valve Corporation,EA Games,0.886,1,,,,,,,,,,,,,,
playtime_18712,metacritic_11246,The Shoot,The Shoot,PlayStation 3,PlayStation 3,2010,2010,Cohort Studios,SCEA,0.866666667,1,,,,,,,,,,,,,,
playtime_18814,metacritic_7986,The Temple of Elemental Evil,The Temple of Elemental Evil,PC,PC,2003,2003,Troika Games,Atari,0.902941176,1,,,,,,,,,,,,,,
playtime_18820,metacritic_12122,The Testament of Sherlock Holmes,The Testament of Sherlock Holmes,Xbox 360,Xbox 360,2012,2012,Frogwares,Atlus,0.871428571,1,,,,,,,,,,,,,,
playtime_19613,metacritic_2654,TrackMania United,TrackMania United,PC,PC,2006,2006,Nadeo,Focus Home Interactive,0.872222222,1,,,,,,,,,,,,,,
playtime_19715,metacritic_12543,Trivial Pursuit(2009),Trivial Pursuit,PlayStation 3,PlayStation 3,2009,2009,Electronic Arts,Electronic Arts,0.925,1,,,,,,,,,,,,,,
playtime_19831,metacritic_12935,Twin Sector,Twin Sector,PC,PC,2009,2009,DnS Development,Got Game Entertainment,0.898648649,1,,,,,,,,,,,,,,
playtime_2020,metacritic_6383,Blood Omen 2: Legacy of Kain,Blood Omen 2,PlayStation 2,PlayStation 2,2002,2002,Crystal Dynamics,Eidos Interactive,0.854545455,1,,,,,,,,,,,,,,
playtime_20238,metacritic_3207,Vessel,Vessel,PC,PC,2012,2012,Strange Loop Games,indiePub,0.873076923,1,,,,,,,,,,,,,,
playtime_20363,metacritic_3601,Viva Piñata: Trouble in Paradise,Viva Pinata: Trouble in Paradise,Xbox 360,Xbox 360,2008,2008,Rare,Microsoft Game Studios,0.859014423,1,,,,,,,,,,,,,,
