p_row_id,s_row_id,title_p,title_s,platform_p,platform_s,release_year_p,release_year_s,publisher_p,publisher_s,similarity,label
playtime_33655,sales_2566,Yakuza Fury,Yakuza,PlayStation 2,PlayStation 2,2005.0,2005.0,505 Game Street,Sega,0.881578947368421,1
playtime_4804,sales_354,Doom II: Hell on Earth,Doom II: Hell on Earth,PC,PC,1994.0,1994.0,GT Interactive,Virgin Interactive,0.982,1
playtime_17385,sales_8400,Surf's Up(2007),Surf's Up,Wii,Wii,2007.0,2007.0,Ubisoft,Ubisoft,0.91,1
playtime_406,sales_7029,Age of Empires: The Age of Kings,Age of Empires: The Age of Kings,Nintendo DS,Nintendo DS,2006.0,2006.0,Majesco,THQ,0.85,1
playtime_3921,sales_8699,Darksiders II,Darksiders II,PC,PC,2012.0,2012.0,THQ,Nordic Games,0.85,1
playtime_14565,sales_11102,Rock Revolution,Karaoke Revolution Presents American Idol Encore 2,Xbox 360,Xbox 360,2008.0,2008.0,Konami,Konami Digital Entertainment,0.91,1
playtime_27772,sales_4949,MotoGP '08,MotoGP 08,PlayStation 3,PlayStation 3,2008.0,2008.0,Capcom,Capcom,0.9763157894736842,1
playtime_25117,sales_5949,FIFA Street 3,FIFA Street 3,Xbox 360,Xbox 360,2008.0,2008.0,EA Sports BIG,Electronic Arts,0.8928571428571428,1
playtime_36870,sales_1674,WWE 2K16,WWE 2K16,PlayStation 4,PlayStation 4,2015.0,2015.0,2K Sports,Take-Two Interactive,0.8706896551724138,1
playtime_23804,sales_6226,Indiana Jones and the Staff of Kings,Indiana Jones and the Staff of Kings,PlayStation 2,PlayStation 2,2009.0,2009.0,LucasArts,Activision,0.8973684210526316,1
playtime_16273,sales_3547,Spec Ops: The Line,Spec Ops: The Line,PlayStation 3,PlayStation 3,2012.0,2012.0,2K Games,Take-Two Interactive,0.8821428571428571,1
playtime_84772,sales_12028,Alpha and Omega,Alpha and Omega,Nintendo DS,Nintendo DS,2010.0,2010.0,Storm City Games,Unknown,0.8630434782608696,1
playtime_43839,sales_12000,The Sims Pet Stories,The Sims 2: Seasons,PC,PC,2007.0,2007.0,Electronic Arts,Electronic Arts,0.85,1
playtime_26331,sales_3883,The LEGO Movie Videogame,The LEGO Movie Videogame,Xbox One,Xbox One,2014.0,2014.0,TT Games,Warner Bros. Interactive Entertainment,0.8760869565217391,1
playtime_15512,sales_10494,Shrek Forever After,Shrek: Forever After,Xbox 360,Xbox 360,2010.0,2010.0,Activision,Activision,0.9884615384615384,1
playtime_18534,sales_15207,The Lord of the Rings: The Battle for Middle-earth II,The Lord of the Rings: The Battle for Middle-Earth II,PC,PC,2006.0,2006.0,EA Games,Electronic Arts,0.8799467613132209,1
playtime_71683,sales_2009,ZhuZhu Pets: Featuring the Wild Bunch,ZhuZhu Pets,Nintendo DS,Nintendo DS,2010.0,2010.0,Activision,Activision,0.8676470588235294,1
playtime_20186,sales_10608,Van Helsing,Van Helsing,Game Boy Advance,Game Boy Advance,2004.0,2004.0,VU Games,Activision,0.8666666666666667,1
playtime_14185,sales_1707,Resident Evil 6,Resident Evil: Operation Raccoon City,PlayStation 3,PlayStation 3,2012.0,2012.0,Capcom,Capcom,0.8630434782608696,0
